Team,Overall,Attack,Midfield,Defense
Sheffield Weds,68,68,69,67
Blackburn,69,70,69,70
Bristol City,69,66,70,69
Middlesbrough,71,69,70,71
Norwich,72,70,72,71
Plymouth,67,67,67,67
Stoke,70,71,70,69
Swansea,69,70,70,67
Leicester,75,73,76,75
Leeds,73,72,72,72
Sunderland,69,57,68,69
Coventry,70,71,71,70
Birmingham,69,69,69,69
Cardiff,70,70,70,68
Huddersfield,68,68,66,67
Hull,70,69,71,70
Ipswich,69,68,69,69
Millwall,70,72,71,70
Preston,70,70,70,68
Rotherham,67,67,68,65
Southampton,73,71,70,74
Watford,70,70,71,69
West Brom,71,70,72,70
QPR,69,67,68,69
